7_days_ago,6_days_ago,5_days_ago,4_days_ago,3_days_ago,2_days_ago,1_days_ago,0_days_ago,sales_change
0.0,0.0,0.0,0.0,0.0,3.26,1.8,0.44,60.0
0.0,0.0,0.0,0.0,0.0,1.08,1.42,1.4,-60.0
0.0,0.0,0.0,0.0,0.0,11.38,1.66,-0.27,-30.0
0.0,0.0,0.0,0.0,0.0,7.69,3.43,1.66,33.33
0.0,0.0,0.0,0.0,0.0,1.08,1.42,1.75,50.0
0.0,0.0,0.0,0.0,3.26,1.8,0.44,0.0,-81.25
0.0,0.0,0.0,0.0,1.08,1.42,1.4,0.0,0.0
0.0,0.0,0.0,0.0,11.38,1.66,-0.27,0.0,128.57
0.0,0.0,0.0,0.0,0.0,-0.4,-0.4,-3.2,-37.5
0.0,0.0,0.0,0.0,7.69,3.43,1.66,0.0,125.0
0.0,0.0,0.0,0.0,1.08,1.42,1.75,-0.34,33.33
0.0,0.0,0.0,0.0,1.94,0.0,0.27,0.27,12.43
0.0,0.0,0.0,3.26,1.8,0.44,0.0,0.0,233.33
0.0,0.0,0.0,0.0,0.0,-0.75,-0.76,-0.38,-83.33
0.0,0.0,0.0,0.0,0.0,-0.71,-4.98,-0.75,16.67
0.0,0.0,0.0,1.08,1.42,1.4,0.0,0.0,-50.0
0.0,0.0,0.0,0.0,0.0,-1.1,-0.74,-0.37,-87.5
0.0,0.0,0.0,11.38,1.66,-0.27,0.0,0.0,75.0
0.0,0.0,0.0,0.0,-0.4,-0.4,-3.2,0.0,60.0
0.0,0.0,0.0,7.69,3.43,1.66,0.0,0.0,-66.67
0.0,0.0,0.0,0.0,0.0,-0.71,-4.98,-0.75,160.0
0.0,0.0,0.0,1.08,1.42,1.75,-0.34,0.0,-6.25
0.0,0.0,0.0,1.94,0.0,0.27,0.27,-0.27,13.23
0.0,0.0,0.0,3.41,0.0,0.0,15.38,-7.14,400.0
0.0,0.0,3.26,1.8,0.44,0.0,0.0,0.0,-50.0
0.0,0.0,0.0,0.0,-0.75,-0.76,-0.38,0.0,-100.0
0.0,0.0,0.0,0.0,1.15,3.54,0.0,0.41,6.25
0.0,0.0,0.0,0.0,-0.71,-4.98,-0.75,0.0,71.43
0.0,0.0,1.08,1.42,1.4,0.0,0.0,0.0,200.0
0.0,0.0,0.0,0.0,-1.1,-0.74,-0.37,0.0,-100.0
0.0,0.0,0.0,0.0,-1.47,-0.37,0.0,0.75,-15.0
0.0,0.0,11.38,1.66,-0.27,0.0,0.0,0.0,-53.57
0.0,0.0,0.0,-0.4,-0.4,-3.2,0.0,0.0,-12.5
0.0,0.0,7.69,3.43,1.66,0.0,0.0,0.0,66.67
0.0,0.0,0.0,0.0,-0.71,-4.98,-0.75,0.0,-53.85
0.0,0.0,1.08,1.42,1.75,-0.34,0.0,0.0,0.0
0.0,0.0,1.94,0.0,0.27,0.27,-0.27,1.63,-8.43
0.0,0.0,3.41,0.0,0.0,15.38,-7.14,2.56,-40.0
0.0,3.26,1.8,0.44,0.0,0.0,0.0,-0.88,120.0
0.0,0.0,0.0,0.0,3.4,5.07,0.0,-0.28,40.0
0.0,0.0,0.0,1.15,3.54,0.0,0.41,0.0,-70.59
0.0,0.0,0.0,-0.71,-4.98,-0.75,0.0,0.0,33.33
0.0,1.08,1.42,1.4,0.0,0.0,0.0,0.0,-66.67
0.0,0.0,2.84,0.0,0.0,0.92,0.0,-7.76,0.0
0.0,0.0,0.0,-1.47,-0.37,0.0,0.75,0.0,52.94
0.0,0.0,0.0,0.0,0.0,-1.77,-0.72,-2.17,100.0
0.0,-2.41,0.35,0.0,0.0,0.0,0.0,0.7,-25.0
0.0,11.38,1.66,-0.27,0.0,0.0,0.0,0.0,-38.46
0.0,0.0,-0.4,-0.4,-3.2,0.0,0.0,0.41,-42.86
0.0,0.0,0.0,0.0,0.0,4.11,3.07,10.0,100.0
0.0,7.69,3.43,1.66,0.0,0.0,0.0,0.0,-100.0
0.0,9.83,0.0,21.05,0.0,0.0,0.0,-3.04,25.0
0.0,0.0,0.0,-0.71,-4.98,-0.75,0.0,0.0,16.67
0.0,1.08,1.42,1.75,-0.34,0.0,0.0,0.0,-73.33
0.0,1.94,0.0,0.27,0.27,-0.27,1.63,-0.27,-19.55
0.0,3.41,0.0,0.0,15.38,-7.14,2.56,-6.5,300.0
0.0,1.01,0.0,0.0,0.0,0.0,1.0,-5.45,65.0
0.0,1.25,0.0,0.0,0.0,0.0,1.23,0.41,76.92
3.26,1.8,0.44,0.0,0.0,0.0,-0.88,0.0,-9.09
0.0,1.25,0.0,0.0,0.0,0.0,1.23,0.41,9.52
0.0,0.0,0.0,3.4,5.07,0.0,-0.28,0.0,14.29
0.0,0.83,0.0,0.0,0.0,0.41,0.0,3.69,-25.0
11.38,0.0,1.66,0.0,0.0,0.0,0.0,-1.9,-50.0
0.0,0.0,1.15,3.54,0.0,0.41,0.0,0.0,180.0
0.0,0.0,1.17,0.0,0.0,0.0,-3.64,-2.74,-75.0
0.0,0.0,-0.71,-4.98,-0.75,0.0,0.0,0.0,-50.0
1.08,1.42,1.4,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,-0.74,-1.75,-0.76,-100.0
0.0,2.84,0.0,0.0,0.92,0.0,-7.76,-1.49,-28.57
0.0,0.83,0.0,0.0,0.0,0.0,1.23,3.64,14.29
7.55,1.69,0.0,0.0,0.0,0.0,0.0,-3.31,-63.64
0.0,0.0,-1.47,-0.37,0.0,0.75,0.0,0.0,-23.08
0.0,0.0,0.0,0.0,-1.77,-0.72,-2.17,-0.74,-30.0
0.0,0.49,0.0,0.0,0.0,0.0,-2.9,-4.98,75.0
-2.41,0.35,0.0,0.0,0.0,0.0,0.7,0.0,33.33
11.38,1.66,-0.27,0.0,0.0,0.0,0.0,-3.0,-12.5
0.0,-0.4,-0.4,-3.2,0.0,0.0,0.41,0.0,-25.0
0.0,0.0,0.0,0.0,4.11,3.07,10.0,11.8,25.0
9.83,0.0,21.05,0.0,0.0,0.0,-3.04,0.0,100.0
0.0,1.58,0.0,0.0,0.0,0.0,1.55,-4.08,69.23
0.0,0.0,0.62,0.0,0.0,0.0,-0.93,-5.92,83.33
0.0,0.0,-0.71,-4.98,-0.75,0.0,0.0,0.0,14.29
0.0,1.56,0.0,0.0,0.0,0.0,-1.54,-2.08,220.0
